iso_alpha_3_code,Country,Region,Income group,Year,MMR,LiveBirths
GUY,Guyana,Latin America & Caribbean,High income,2019.5,0.0011035951757289,17725.0
HND,Honduras,Latin America & Caribbean,Lower middle income,2013.5,0.0006621885786076,220481.0
HRV,Croatia,Europe & Central Asia,High income,2023.5,6.36010939388157e-05,31446.0
HTI,Haiti,Latin America & Caribbean,Lower middle income,2013.786,0.0050668048211251,1879421.1
HUN,Hungary,Europe & Central Asia,High income,2022.5,7.43357851186031e-05,89766.0
IDN,Indonesia,East Asia & Pacific,Upper middle income,2008.963,0.003330791510328,34902755.067
IND,India,South Asia,Lower middle income,2019.5,0.0011184294570981,72230527.0
IRL,Ireland,Europe & Central Asia,High income,2021.5,2.88904578769629e-05,60066.0
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2017.5,0.000130165381783,1534302.0
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2023.5,0.0004486534567685,1159682.0
ISL,Iceland,Europe & Central Asia,High income,2022.5,0.0001855901767621,4334.0
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,2022.5,1.06564040820346e-05,174982.0
ITA,Italy,Europe & Central Asia,High income,2021.5,2.16504533701061e-05,407050.0
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2022.5,0.001582798763144,33658.0
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2023.5,0.0002290943379275,235776.0
JPN,Japan,East Asia & Pacific,High income,2021.5,2.66448689361617e-05,810611.0
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2021.5,0.0002463115871797,459460.0
KEN,Kenya,Sub-Saharan Africa,Lower middle income,2019.2,0.0050085298416325,1449024.8
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,2019.5,0.0002790205848165,172605.0
KHM,Cambodia,East Asia & Pacific,Lower middle income,2018.70833333333,0.0032137864844892,380054.500000005
KIR,Kiribati,East Asia & Pacific,Lower middle income,1999.5,0.0004870193629472,2829.0
KNA,St. Kitts And Nevis,Latin America & Caribbean,High income,2016.5,0.0,641.0
KOR,"Korea, Rep.",East Asia & Pacific,High income,2023.5,3.99044110432195e-05,236394.0
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,2019.5,8.54356526770805e-05,53115.0
LAO,Lao Pdr,East Asia & Pacific,Lower middle income,2014.66301369863,0.0020171617499781,167752.219179317
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2022.5,0.000185,94050.0
LBR,Liberia,Sub-Saharan Africa,Low income,2016.25,0.0074192358158021,1132518.75
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,2020.5,0.0004469987228607,2088.0
LKA,Sri Lanka,South Asia,Lower middle income,2022.5,0.00033,326112.0
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2011.434,0.0091996460660886,419366.982
LTU,Lithuania,Europe & Central Asia,High income,2023.5,0.0001447496548737,21434.0
LUX,Luxembourg,Europe & Central Asia,High income,2013.5,0.0,5996.0
LVA,Latvia,Europe & Central Asia,High income,2021.5,0.0003531826767474,17471.0
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2010.5,0.0012354619746471,710089.0
MCO,Monaco,Europe & Central Asia,High income,1987.5,0.0,392.0
MDA,Moldova,Europe & Central Asia,Upper middle income,2021.5,0.0004700606254279,34837.0
MDG,Madagascar,Sub-Saharan Africa,Low income,2017.91666666667,0.0055786230126403,910441.666666749
MDV,Maldives,South Asia,Upper middle income,2021.5,0.0006158699974068,6036.0
MEX,Mexico,Latin America & Caribbean,Upper middle income,2022.5,0.000315982261864,2063075.0
MKD,North Macedonia,Europe & Central Asia,Upper middle income,2023.5,0.0,16878.0
MLI,Mali,Sub-Saharan Africa,Low income,2015.083333,0.0047055221685596,5746194.881637
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,2021.5,0.0,4345.0
MMR,Myanmar,East Asia & Pacific,Lower middle income,2013.74520547945,0.0041995600863258,936789.024655225
MNE,Montenegro,Europe & Central Asia,Upper middle income,2019.5,0.0001824995926348,7220.0
MNG,Mongolia,East Asia & Pacific,Upper middle income,2021.5,0.0011428417772208,70193.0
MOZ,Mozambique,Sub-Saharan Africa,Low income,2020.495,0.0013544606525794,1180519.56000001
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,2016.333333,0.0044139983648043,1066233.32614
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,2023.5,0.0003259516801327,11804.0
MWI,Malawi,Sub-Saharan Africa,Low income,2018.20833333333,0.0034622282514087,613291.333333307
MYS,Malaysia,East Asia & Pacific,Upper middle income,2020.5,0.0003317275737328,453893.0
NAM,Namibia,Sub-Saharan Africa,Lower middle income,2020.5,0.000811,75551.0
NER,Niger,Sub-Saharan Africa,Low income,2008.794,0.0068291447495925,5448458.26600001
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2015.083333,0.0137086673014887,51390206.616096
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,2022.5,0.0003181793786904,132560.0
NLD,Netherlands,Europe & Central Asia,High income,2022.5,2.12152947746833e-05,172487.0
NOR,Norway,Europe & Central Asia,High income,2021.5,0.0,56033.0
NPL,Nepal,South Asia,Lower middle income,2021.4,0.0014803294775675,580343.0
NZL,New Zealand,East Asia & Pacific,High income,2016.5,1.6821835639825e-05,58552.0
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,2018.5,0.000152,88598.0
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2019.41665,0.0024322197144958,4599536.06227496
PAN,Panama,Latin America & Caribbean,High income,2022.5,0.0004959712668971,71463.0
PER,Peru,Latin America & Caribbean,Upper middle income,2021.5,0.0014737208842044,543689.0
PHL,Philippines,East Asia & Pacific,Lower middle income,2019.5,0.0008022593422415,2006034.0
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,2013.25,0.0028251492522726,1696574.75
POL,Poland,Europe & Central Asia,High income,2022.5,1.74589840533499e-05,310232.0
PRI,Puerto Rico (U.S.),Latin America & Caribbean,High income,2022.5,0.0004289983082217,18619.0
PRK,"Korea, Dem. People'S Rep.",East Asia & Pacific,Low income,2018.6,0.0006458072484001,348253.4
PRT,Portugal,Europe & Central Asia,High income,2022.5,0.000131,84319.0
PRY,Paraguay,Latin America & Caribbean,Upper middle income,2021.5,0.0013225598243747,138291.0
PSE,West Bank And Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2019.5,0.000191,147286.0
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,2022.5,3.52468036981251e-05,29212.0
ROU,Romania,Europe & Central Asia,High income,2019.5,0.0001034558496857,196640.0
RUS,Russian Federation,Europe & Central Asia,High income,2019.5,9.03827981673735e-05,1496027.0
RWA,Rwanda,Sub-Saharan Africa,Low income,2016.333333,0.0036815015369561,2642864.65464
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,2022.5,8.56878182046584e-05,489608.0
SDN,Sudan,Sub-Saharan Africa,Low income,2009.0,0.0021559999999999,2607397.0
SEN,Senegal,Sub-Saharan Africa,Lower middle income,2023.05,0.0022050324534609,579136.999999952
SGP,Singapore,East Asia & Pacific,High income,2022.5,3.55398325782576e-05,45168.0
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,2009.392857,0.0016610233776421,17425.464253
SLE,Sierra Leone,Sub-Saharan Africa,Low income,2015.833333,0.0078815399436921,1731849.99793
